lat,long,yds_clean_coarse,ver_clean_coarse,fa,route_name,nopm_YDS,nopm_Vermin,has_f,has_fB,has_fanat,has_fall,has_fBall,has_fallsex,has_m,has_manat,has_mall,has_mallsex,has_sex,has_fmallsex,has_eth,has_lgbt,has_drugs,has_money,has_violence,has_penis,has_bitch,has_pussy,has_whore,has_virgin,has_arete,has_slab,has_overhang,has_dihedral,has_roof,has_jug,has_crimp,has_flake,has_any,rating
 38.51582,-108.89745,,1.0,unknown,Slutty Liar,,V1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Intermediate
 38.81382,-108.6192,11.0,,"Jesse Zacher, Matt Seymour",Super Dyke,5.11b/c,,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 38.81507,-108.60882,8.0,,Andy Peterfish,Skank,5.8/9,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 38.89295,-108.5121,,4.0,unknown,Little Rapes,,V4,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 38.8928,-108.51,,1.0,unknown,Titty Twister,,V1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 38.94628,-108.48494,,2.0,unknown,Bubba Ho Tep,,V2,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Intermediate
 38.94424,-108.48206,,0.0,unknown,Hustlin' Whore,,V0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Intermediate
 38.92039,-108.49364,,4.0,unknown,Prehistoric Bitch,,V4,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.68296,-107.57729,10.0,,Bryan Gall,Red Breasts and Hot Wings,5.10a,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 40.5686,-105.077,,7.0,unknown,The Bitch Slap,,V7,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 40.32032,-105.2139,,3.0,unknown,Pocket Pussy,,V3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.62375,-107.13401,10.0,,Jeff Achey,Smells Like Pussy,5.10d,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 39.62375,-107.13401,11.0,,Jeff Achey,Pussy Pie,5.11a,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.62375,-107.13401,11.0,,unknown,Bitchy Bitch,5.11c,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.55116,-107.31743,12.0,,Jeff Achey,Bitch Slap,5.12b,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.57692,-107.21427,11.0,,Mike Schneiter,How To Be Bitchin',5.11c/d,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.76953,-105.22006,10.0,,"Alan Nelson, Richard Wright, 1993",Bimbo in Limbo,5.10a/b,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 40.43666,-105.31171,8.0,,Al Simons,A Slut Climb Named Desire,5.8,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Intermediate
 40.16789,-105.47848,8.0,,unknown,Seething Bitch aka Thieving Bitch,5.8,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 39.73821,-105.3164,11.0,,"Tod Anderson, 1997",Smack That Bitch Up,5.11a,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.7428,-105.4043,11.0,,Graham Blandy,The Pussy,5.11d,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.73696,-105.31648,,6.0,Wade David,Bitch Strength,,V6/7,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.74023,-105.41433,,6.0,Joe Varela & Zach Wood,Seeing Eye Bitch aka Seeing Scrapes,,V6,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.34823,-104.75964,10.0,,"Chris Drysdale, 1987",Bitch,5.10b/c,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 37.31,-107.9432,,9.0,Skylar Smith?,Boobs On My Granny,,V9,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 37.4294,-107.8372,10.0,,"Joel Schiavone, Matthias Holladay",Yo Ho Ho and a Bottle of Rum,5.10b,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Intermediate
 37.51721,-107.81582,13.0,,Evan Blare,Bitchez Get Stitchez!,5.13b,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 37.51721,-107.81582,13.0,,"Evan Blare, Erik Durgin",Bitchez Direct,5.13c,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
